
Nom de l'entreprise : 
NPA : 
Adresse : 
Ville : 
Pays : 


Heure : 16:28:44
Date : 15.12.2015

NUMÉRO DE PIÈCE;DOSSIER;GROUPE;POSITION;DÉPARTEMENT;STATUT;QTE;DESCRIPTION;NORME;UTILISATION;SITUATION;MATIÈRE;LONGUEUR;LARGEUR;EPAISSEUR;MASSE;SURFACE;TRAITEMENT;COULEUR;NIVEAU;QUANTITÉ
  10-P-8000;10;Pièce;-;Visserie;Chantier;2;HSA M12x100;-;-;-;Acier;0;0;0;0;0;Zingué bleu;-;1;10
10-E-4000;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;3495;2571.67;184;250.70;27895348.92;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4000;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0000;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;3495;120;60;36.83;2334566.10;Brut;-;1;1
  10-P-0001;10;Pièce;-;Usinage Acier;Production;3;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;3495;120;60;36.84;2334606.16;Brut;-;1;3
  10-P-0100;10;Pièce;-;Usinage Acier;Production;4;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;998.33;120;60;10.53;668955.49;Brut;-;1;4
  10-P-0101;10;Pièce;-;Usinage Acier;Production;2;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;335;120;60;3.53;226248.00;Brut;-;1;2
  10-P-0150;10;Pièce;-;Usinage Acier;Production;2;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;998.33;60;60;5.55;439624.81;Brut;-;1;2
  10-P-0151;10;Pièce;-;Usinage Acier;Production;1;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;335;60;60;1.86;148455.53;Brut;-;1;1
  10-P-0200;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;2556.67;18;12;3.96;1774465.73;Brut;-;1;1
  10-P-0201;10;Pièce;-;Usinage Acier;Production;4;Raico 129005;-;-;-;Acier;3005;18;12;4.43;1530335.42;Brut;-;1;4
  10-P-0202;10;Pièce;-;Usinage Acier;Production;4;Raico 129005;-;-;-;Acier;992.33;18;12;1.43;462697.10;Brut;-;1;4
  10-P-0203;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;329;18;12;0.47;154126.26;Brut;-;1;2
  10-P-3000;10;Pièce;-;Achat;Production;12;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;12
  10-P-2054;10;Pièce;-;Tôlerie;Chantier;2;Tôle alu 2mm;-;-;-;Alu;1060.32;614.98;2;3.52;1308831.05;IGP 5803 E 71755 A10;-;1;2
    ;;;;;;-;Sheet;;;;;;;;3.52;;;;-1;
  10-P-2055;10;Pièce;-;Tôlerie;Chantier;1;Tôle alu 2mm;-;-;-;Alu;614.98;396.98;2;1.31;487546.09;IGP 5803 E 71755 A10;-;1;1
    ;;;;;;-;Sheet;;;;;;;;1.31;;;;-1;
  10-P-2050;10;Pièce;-;Tôlerie;Chantier;2;Tôle alu 2mm;-;-;-;Alu;1060.32;192.98;2;1.10;410486.69;IGP 5803 E 71755 A10;-;1;2
    ;;;;;;-;Sheet;;;;;;;;1.10;;;;-1;
  10-P-2051;10;Pièce;-;Tôlerie;Chantier;1;Tôle Alu 2mm;-;-;-;Alu;376.98;172.98;2;0.35;130507.39;IGP 5803 E 71755 A10;-;1;1
    ;;;;;;-;Sheet;;;;;;;;0.35;;;;-1;
  10-E-4120;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;111;100;51;0.42;36993.98;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2000;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;304.09;51;3;0.35;31830.46;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;0.35;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;4
  10-P-8007;10;;-;Visserie;Chantier;44;Vis à tôle - Tête cylindrique bombée - St 00x00;-;-;-;Inox Brut 2B;0;0;0;0;0;Brut;-;1;44
  10-E-4121;10;Assemblage;-;Acier;Chantier;1;Assemblage Manchon;-;-;-;Divers;53;100;53;0.29;25258.99;Peint Antirouille;Zimo Z1 60my;1;1
    10-P-2001;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;188.09;53;3;0.21;20095.48;Brut;-;2;1
      ;;;;;;-;Sheet;;;;;;;;0.21;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;2
10-E-4001;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;4745;1118.33;184;131.79;13334368.60;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4001;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0002;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4745;120;60;50.00;3168589.26;Brut;-;1;1
  10-P-0003;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;3495;120;60;36.83;2334566.10;Brut;-;1;1
  10-P-0100;10;Pièce;-;Usinage Acier;Production;2;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;998.33;120;60;10.53;668955.49;Brut;-;1;2
  10-P-0150;10;Pièce;-;Usinage Acier;Production;1;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;998.33;60;60;5.55;439624.81;Brut;-;1;1
  10-P-0208;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;1103.33;18;12;1.71;766509.47;Brut;-;1;1
  10-P-0207;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;4369;18;12;6.44;2224449.64;Brut;-;1;1
  10-P-0201;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;3005;18;12;4.43;1530335.42;Brut;-;1;1
  10-P-0202;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;992.33;18;12;1.43;462697.10;Brut;-;1;2
  10-P-3000;10;Pièce;-;Achat;Production;4;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;4
  10-P-2050;10;Pièce;-;Tôlerie;Chantier;1;Tôle alu 2mm;-;-;-;Alu;1060.32;192.98;2;1.10;410486.69;IGP 5803 E 71755 A10;-;1;1
    ;;;;;;-;Sheet;;;;;;;;1.10;;;;-1;
  10-E-4120;10;Assemblage;-;Acier;Chantier;3;Assemblage Manchon;-;-;-;Divers;111;100;51;0.42;36993.98;Peint Antirouille;Zimo Z1 60my;1;3
    10-P-2000;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;304.09;51;3;0.35;31830.46;Brut;-;2;3
      ;;;;;;-;Sheet;;;;;;;;0.35;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;6
  10-E-4121;10;Assemblage;-;Acier;Chantier;1;Assemblage Manchon;-;-;-;Divers;53;100;53;0.29;25258.99;Peint Antirouille;Zimo Z1 60my;1;1
    10-P-2001;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;188.09;53;3;0.21;20095.48;Brut;-;2;1
      ;;;;;;-;Sheet;;;;;;;;0.21;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;2
  10-P-8007;10;;-;Visserie;Chantier;8;Vis à tôle - Tête cylindrique bombée - St 00x00;-;-;-;Inox Brut 2B;0;0;0;0;0;Brut;-;1;8
10-E-4002;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;4745;1118.33;184;142.67;14901709.35;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4002;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0004;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4745;120;60;50.01;3168813.88;Brut;-;1;1
  10-P-0002;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4745;120;60;50.00;3168589.26;Brut;-;1;1
  10-P-0100;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;998.33;120;60;10.53;668955.49;Brut;-;1;1
  10-P-0150;10;Pièce;-;Usinage Acier;Production;2;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;998.33;60;60;5.55;439624.81;Brut;-;1;2
  10-P-0208;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;1103.33;18;12;1.71;766509.47;Brut;-;1;1
  10-P-0207;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;4369;18;12;6.44;2224449.64;Brut;-;1;2
  10-P-0202;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;992.33;18;12;1.43;462697.10;Brut;-;1;2
  10-P-3000;10;Pièce;-;Achat;Production;6;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;6
  10-E-4120;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;111;100;51;0.42;36993.98;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2000;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;304.09;51;3;0.35;31830.46;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;0.35;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;4
  10-E-4121;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;53;100;53;0.29;25258.99;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2001;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;188.09;53;3;0.21;20095.48;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;0.21;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;4
  10-P-2065;10;Pièce;-;Tôlerie;Chantier;1;Tôle alu 2mm;-;-;-;Alu;1060.32;312.98;2;1.78;662275.30;IGP 5803 E 71755 A10;-;1;1
    ;;;;;;-;Sheet;;;;;;;;1.78;;;;-1;
  10-P-8007;10;;-;Visserie;Chantier;8;Vis à tôle - Tête cylindrique bombée - St 00x00;-;-;-;Inox Brut 2B;0;0;0;0;0;Brut;-;1;8
10-E-4003;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;4745;870;184;165.11;13924153.86;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4003;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0005;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4745;120;60;50.02;3168853.94;Brut;-;1;1
  10-P-0006;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4745;120;60;50.01;3168813.88;Brut;-;1;1
  10-P-0110;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;750;120;60;7.91;503218.26;Brut;-;1;1
  10-P-0155;10;Pièce;-;Usinage Acier;Production;2;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;750;60;60;4.17;330619.23;Brut;-;1;2
  10-P-0214;10;Pièce;-;Usinage Acier;Production;1;Raico 129005;-;-;-;Acier;855;18;12;1.33;594278.41;Brut;-;1;1
  10-P-0207;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;4369;18;12;6.44;2224449.64;Brut;-;1;2
  10-P-0215;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;744;18;12;1.07;347176.86;Brut;-;1;2
  10-P-3000;10;Pièce;-;Achat;Production;6;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;6
  10-P-2062;10;Pièce;-;Tôlerie;Chantier;1;Tôle alu 2mm;-;-;-;Alu;811.98;312.98;2;1.36;508469.05;IGP 5803 E 71755 A10;-;1;1
    ;;;;;;-;Sheet;;;;;;;;1.36;;;;-1;
  10-E-4120;10;Assemblage;-;Acier;Chantier;1;Assemblage Manchon;-;-;-;Divers;111;100;51;0.42;36993.98;Peint Antirouille;Zimo Z1 60my;1;1
    10-P-2000;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;304.09;51;3;0.35;31830.46;Brut;-;2;1
      ;;;;;;-;Sheet;;;;;;;;0.35;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;2
  10-E-4121;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;53;100;53;0.29;25258.99;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2001;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;188.09;53;3;0.21;20095.48;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;0.21;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;4
  10-P-8007;10;;-;Visserie;Chantier;8;Vis à tôle - Tête cylindrique bombée - St 00x00;-;-;-;Inox Brut 2B;0;0;0;0;0;Brut;-;1;8
10-E-4004;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;4099.43;870;184;116.99;11419184.53;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4004;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0007;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4099.43;120;60;43.20;2737263.56;Brut;-;1;1
  10-P-0008;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4099.43;120;60;43.19;2737236.86;Brut;-;1;1
  10-P-0155;10;Pièce;-;Usinage Acier;Production;2;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;750;60;60;4.17;330619.23;Brut;-;1;2
  10-P-0216;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;4093.44;18;12;6.04;2084222.28;Brut;-;1;2
  10-P-0215;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;744;18;12;1.07;347176.86;Brut;-;1;2
  10-P-3000;10;Pièce;-;Achat;Production;4;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;4
  10-E-4115;10;Assemblage;-;Acier;Chantier;2;SC Charpente;-;-;-;Divers;120;115;0;0.96;37143.14;Thermolaqué;RAL 9007;1;2
    10-P-2030;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;8;0;0.69;25786.19;Brut;-;2;2
    10-P-0330;10;Pièce;-;Usinage Acier;Production;1;Tige filetée M16x115;-;-;-;Acier;115;16;0;0.18;6182.65;Brut;-;2;2
    10-P-8013;10;Pièce;-;Visserie;Chantier;2;Vis Cylindrique M10x50;-;-;-;Inox Brut 2B;0;0;0;;;Brut;-;2;4
  10-E-4110;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;230;111;51;2.66;119665.75;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2012;10;Pièce;-;Tôlerie;Production;1;Tôle acier 6mm manchon;-;-;-;Acier;230;220.97;"RD3@Annotations@10-P-2012.moPart_c";2.54;112939.33;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;2.54;;;;-1;
    10-P-8031;10;Pièce;-;Visserie;Production;1;Ecrou de rallonge M16;-;-;-;Acier;0;0;0;0.13;6726.42;Brut;-;2;2
  10-E-4121;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;53;100;53;0.29;25258.99;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2001;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;188.09;53;3;0.21;20095.48;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;0.21;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;4
10-E-4005;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;4099.43;1118.33;184;121.05;11918727.46;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4005;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0009;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4099.43;120;60;43.19;2737236.86;Brut;-;1;1
  10-P-0008;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4099.43;120;60;43.19;2737236.86;Brut;-;1;1
  10-P-0150;10;Pièce;-;Usinage Acier;Production;2;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;998.33;60;60;5.55;439624.81;Brut;-;1;2
  10-P-0216;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;4093.44;18;12;6.04;2084222.28;Brut;-;1;2
  10-P-0202;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;992.33;18;12;1.43;462697.10;Brut;-;1;2
  10-P-3000;10;Pièce;-;Achat;Production;4;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;4
  10-E-4121;10;Assemblage;-;Acier;Chantier;4;Assemblage Manchon;-;-;-;Divers;53;100;53;0.29;25258.99;Peint Antirouille;Zimo Z1 60my;1;4
    10-P-2001;10;Pièce;-;Tôlerie;Production;1;Tôle acier 3mm;-;-;-;Acier;188.09;53;3;0.21;20095.48;Brut;-;2;4
      ;;;;;;-;Sheet;;;;;;;;0.21;;;;-1;
    10-P-0900;10;Pièce;-;Usinage Acier;Production;2;Rond acier 8mm;-;-;-;Acier;100;8;0;0.04;2581.76;Brut;-;2;8
  10-E-4115;10;Assemblage;-;Acier;Chantier;2;SC Charpente;-;-;-;Divers;120;115;0;0.96;37143.14;Thermolaqué;RAL 9007;1;2
    10-P-2030;10;Pièce;-;Tôlerie;Production;1;Tôle acier 8mm;-;-;-;Acier;120;8;0;0.69;25786.19;Brut;-;2;2
    10-P-0330;10;Pièce;-;Usinage Acier;Production;1;Tige filetée M16x115;-;-;-;Acier;115;16;0;0.18;6182.65;Brut;-;2;2
    10-P-8013;10;Pièce;-;Visserie;Chantier;2;Vis Cylindrique M10x50;-;-;-;Inox Brut 2B;0;0;0;;;Brut;-;2;4
  10-E-4110;10;Assemblage;-;Acier;Chantier;2;Assemblage Manchon;-;-;-;Divers;230;111;51;2.66;119665.75;Peint Antirouille;Zimo Z1 60my;1;2
    10-P-2012;10;Pièce;-;Tôlerie;Production;1;Tôle acier 6mm manchon;-;-;-;Acier;230;220.97;"RD3@Annotations@10-P-2012.moPart_c";2.54;112939.33;Brut;-;2;2
      ;;;;;;-;Sheet;;;;;;;;2.54;;;;-1;
    10-P-8031;10;Pièce;-;Visserie;Production;1;Ecrou de rallonge M16;-;-;-;Acier;0;0;0;0.13;6726.42;Brut;-;2;2
10-E-4006;10;Assemblage;-;Acier;Chantier;1;Cadre tubulaire;-;-;-;Divers;4099.43;1118.33;184;120.89;11905216.81;IGP 5803 E 71755 A10;-;0;1
  Esquisse 10-E-4006;;;;;;1;;;;;;;;;;;;;1;1
  10-P-0009;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4099.43;120;60;43.19;2737236.86;Brut;-;1;1
  10-P-0010;10;Pièce;-;Usinage Acier;Production;1;Tube rectangulaire MSH 120x60x4;EN 10210;-;-;Acier;4099.43;120;60;43.19;2737250.21;Brut;-;1;1
  10-P-0150;10;Pièce;-;Usinage Acier;Production;2;Tube carré MSH 60x60x3.2;EN 10210;-;-;Acier;998.33;60;60;5.55;439624.81;Brut;-;1;2
  10-P-0216;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;4093.44;18;12;6.04;2084222.28;Brut;-;1;2
  10-P-0202;10;Pièce;-;Usinage Acier;Production;2;Raico 129005;-;-;-;Acier;992.33;18;12;1.43;462697.10;Brut;-;1;2
  10-P-3000;10;Pièce;-;Achat;Production;4;Cale à verre Raico 167391;-;-;-;Alu;100;49;18;0.05;14127.90;Brut;-;1;4
  10-E-4120;10;Assemblage;-;Acier;Chantier;1;Assemblage Manchon;-;-;-;Divers;111;100;51;0.42;36993.98;Peint Antirouille;Zimo Z1 60my;1;1
